episode,seed,o_position,official_reward,checkpoint_reward,final_alive,final_dry,water_attempts,successful_waters,blocked_moves
0,10000,"(1, 1)",1274.9200025796915,623.920002579689,5,1,700,700,0
1,10001,"(1, 1)",1314.6099996471894,670.1199996471405,5,1,793,793,0
2,10002,"(1, 1)",-42.21999984741197,201.8400001525879,3,1,2058,2058,0
3,10003,"(1, 1)",669.3100003147039,409.4200003147125,4,0,573,573,0
4,10004,"(1, 1)",1315.9599987173428,659.219998717308,5,0,618,618,0
5,10005,"(1, 1)",-590.2999989651846,-15.959998965263367,2,0,1062,1062,0
6,10006,"(1, 1)",642.1800006103466,399.86000061035156,4,0,824,824,0
7,10007,"(1, 1)",55.07999950408549,231.51999950408936,3,1,1092,1092,0
8,10008,"(1, 1)",203.09999590873286,355.0399959087372,3,0,742,742,0
9,10009,"(1, 1)",-837.6200016832124,123.13999831676483,1,0,868,868,0
