episode,seed,o_position,elapsed_base,official_reward,final_alive,final_dry
0,60000,"(1, 1)",700,-1035.870000138233,1,0
1,60001,"(1, 1)",700,2.319999551771275,3,0
2,60002,"(1, 1)",700,549.2999991607651,4,0
3,60003,"(1, 1)",700,8.210000076292886,3,0
4,60004,"(1, 1)",700,1067.0099994230259,5,1
5,60005,"(1, 1)",700,573.9000000286084,4,0
6,60006,"(1, 1)",700,491.3999992752067,4,1
7,60007,"(1, 1)",700,1068.859999685286,5,2
8,60008,"(1, 1)",700,1106.0000003385533,5,0
9,60009,"(1, 1)",700,1100.0599998569476,5,0
