global_step,full_survival_rate,mean_final_alive,mean_final_dry,mean_official_reward,mean_checkpoint_reward,mean_water_attempts,mean_successful_waters,mean_blocked_moves,sync_rescue_full_rate,sync_rescue_mean_alive,sync_rescue_mean_official
100000,0.0,1.0,0.0,-1270.3519997670915,-308.44399976730347,884.4,884.4,0.0,0.0,1.0,-1098.886000397655
200000,0.0,1.0,0.2,-1207.142000062803,-209.8840000629425,1389.4,1389.4,0.0,0.6,4.2,596.4739995412873
300000,0.4,3.4,0.2,256.4960009212696,373.4840009212494,2528.4,2528.4,0.0,0.2,2.2,-435.1200003242382
400000,0.2,3.2,0.0,108.05199981787985,248.1159998178482,1715.2,1715.2,0.0,0.6,4.0,523.9999995451028
500000,0.4,4.4,0.4,811.564000257515,442.48000025749207,1298.8,1298.8,0.0,0.6,3.6,327.0899996862546
600000,0.8,4.8,0.2,951.0299999437282,461.3839999437332,1862.2,1862.2,0.0,0.0,2.6,-232.1639998140159
700000,0.4,3.0,0.6,20.44600014022651,197.62800014019012,1102.6,1102.6,0.0,0.4,2.8,-122.38799973867985
800000,0.2,3.2,0.4,145.7539995050617,241.84399950504303,1087.0,1087.0,0.0,0.2,3.8,412.0740003938671
900000,0.6,4.4,0.2,956.6840004339286,550.9200004339218,774.8,774.8,0.0,0.6,3.8,423.76600057507386
1000000,0.4,3.8,0.0,580.3379988012359,418.7319988012314,834.2,834.2,0.0,0.2,3.6,290.43199938583876
