episode,global_step,episode_kind,o_position,official_reward,shaping_reward,training_reward,checkpoint_reward,final_alive,final_dry,water_attempts,successful_waters,blocked_moves,epsilon
0,2500,drill,"(1, 1)",593.2800001811964,-64.57599417781452,528.7040060033848,79.06000018119812,4,0,154,154,0,0.992503
1,5000,drill,"(1, 1)",507.23999960899187,-63.55778887462238,443.68221073437235,-10.34000039100647,4,0,106,106,0,0.985003
2,15000,full,"(1, 1)",173.57999893664447,-161.38875270651303,12.19124623014369,311.23999893665314,3,0,538,538,0,0.955003
3,25000,full,"(1, 1)",838.7199976110389,-186.5145237703148,652.2054738407336,583.3799976110458,4,0,638,638,0,0.925003
4,27500,drill,"(1, 1)",1089.9499982452382,-73.31241694449923,1016.6375813007396,173.83999824523926,5,0,127,127,0,0.917503
5,30000,drill,"(1, 1)",1078.0500020122513,-70.95941752814787,1007.0905844841049,166.1400020122528,5,0,187,187,0,0.910003
6,32500,drill,"(1, 1)",1100.5000000524508,-74.08341337680352,1026.4165866756475,187.8200000524521,5,0,176,176,0,0.902503
7,35000,drill,"(1, 1)",-2.450000233651565,-53.268506550786014,-55.71850678443596,-116.88000023365021,3,0,151,151,0,0.895003
8,45000,full,"(1, 1)",1390.930001130183,-200.3024029645731,1190.6275981655463,746.4400011301041,5,0,793,793,0,0.865003
9,47500,drill,"(1, 1)",555.2699999856935,-61.51706684493652,493.7529331407595,40.139999985694885,4,0,141,141,0,0.857503
10,50000,drill,"(1, 1)",1097.4500002145755,-75.20175048064709,1022.2482497339289,185.40000021457672,5,0,185,185,0,0.8500030000000001
11,60000,full,"(1, 1)",694.1099981069514,-169.89333298109403,524.2166651258664,434.3599981069565,4,0,575,575,0,0.820003
12,62500,drill,"(1, 1)",1082.2999988603583,-71.60863482379452,1010.6913640365646,170.3199988603592,5,0,186,186,0,0.812503
13,72500,full,"(1, 1)",143.16000033377827,-160.24572072218425,-17.085720388392104,290.900000333786,3,0,682,682,0,0.782503
14,82500,full,"(1, 1)",655.8800001621175,-164.6314103498314,491.24858981229966,395.08000016212463,4,0,560,560,0,0.752503
15,92500,full,"(1, 1)",-543.7800000332994,-123.64538970231052,-667.4253897356863,1.159999966621399,2,0,642,642,0,0.722503
16,95000,drill,"(1, 1)",1090.4300005006778,-72.41277938460843,1018.0172211160702,185.10000050067902,5,0,281,281,0,0.715003
17,105000,full,"(1, 1)",1390.280000124054,-198.6591575155078,1191.6208426084847,764.6200001239777,5,0,1062,1062,0,0.685003
18,115000,full,"(1, 1)",723.8900004863684,-175.55287364481188,548.337126841563,497.7400004863739,4,0,1055,1055,0,0.655003
19,117500,drill,"(1, 1)",1084.3799993515001,-76.59330130767356,1007.7866980438276,179.67999935150146,5,0,290,290,0,0.6475029999999999
20,120000,drill,"(1, 1)",1081.5400006341922,-75.69672137832181,1005.843279255871,177.96000063419342,5,0,306,306,0,0.640003
21,130000,full,"(1, 1)",552.2399996995865,-167.88807143877472,384.351928260823,305.4399996995926,4,0,760,760,0,0.6100030000000001
22,132500,drill,"(1, 1)",1101.5899990606295,-75.77542633628376,1025.8145727243464,198.3599990606308,5,0,311,311,0,0.602503
23,135000,drill,"(1, 1)",1100.9499980878816,-76.6871210060074,1024.2628770818744,200.379998087883,5,0,349,349,0,0.595003
24,145000,full,"(1, 1)",657.239998874658,-169.07121973703724,488.168779137632,412.6799988746643,4,0,792,792,0,0.565003
25,155000,full,"(1, 1)",1409.9600002718562,-199.40953415582715,1210.5504661159844,799.8400002717972,5,0,1284,1284,0,0.5350029999999999
26,157500,drill,"(1, 1)",1103.549999399184,-76.03852131461635,1027.5114780845677,200.87999939918518,5,0,319,319,0,0.527503
27,167500,full,"(1, 1)",1424.8599995375287,-201.9230381355104,1222.9369614019718,840.359999537468,5,0,1650,1650,0,0.49750300000000003
28,170000,drill,"(1, 1)",1103.4199989604938,-75.76426282691497,1027.6557361335786,206.839998960495,5,0,406,406,0,0.49000299999999997
29,180000,full,"(1, 1)",1397.0800041914572,-199.68145254991578,1197.398551641497,796.4800041913986,5,0,1420,1420,0,0.46000300000000005
30,182500,drill,"(1, 1)",1095.1499999809253,-75.73637706946857,1019.4136229114575,201.0199999809265,5,0,441,441,0,0.452503
31,185000,drill,"(1, 1)",1096.2999992036807,-71.95208216571346,1024.3479170379676,201.95999920368195,5,0,438,438,0,0.4450029999999999
32,195000,full,"(1, 1)",497.2399979114487,-163.83445838736048,333.40553952409874,267.93999791145325,4,0,1010,1010,0,0.415003
33,205000,full,"(1, 1)",1380.0499989939192,-198.96977850339889,1181.0802204904842,785.6799989938736,5,0,1509,1509,0,0.385003
34,207500,drill,"(1, 1)",1105.3800002670278,-69.33703949069529,1036.0429607763322,205.7200002670288,5,0,362,362,0,0.37750300000000003
35,217500,full,"(1, 1)",1359.3999979782518,-196.5602148618503,1162.8397831163734,778.1199979782104,5,0,1696,1696,0,0.347503
36,220000,drill,"(1, 1)",1038.100000848769,-72.96596880626217,965.1340320425072,128.36000084877014,5,0,218,218,0,0.34000299999999994
37,230000,full,"(1, 1)",-1161.2999992845039,-90.20263265108365,-1251.5026319358362,-226.99999928474426,1,0,490,490,0,0.3100029999999999
38,240000,full,"(1, 1)",-1299.0599996565052,-71.15392478108403,-1370.2139244377981,-275.85999965667725,1,1,1760,1760,0,0.280003
39,242500,drill,"(1, 1)",-611.4499999427625,-46.97919723081358,-658.4291971735939,-285.55999994277954,2,0,727,727,0,0.27250299999999994
40,252500,full,"(1, 1)",-686.0499999474367,-129.37968837736975,-815.4296883249142,-4.679999947547913,2,0,2591,2591,0,0.24250300000000002
41,262500,full,"(1, 1)",1266.5700028228746,-198.12006006334335,1068.4499427595335,694.040002822876,5,0,1821,1821,0,0.212503
