episode,seed,o_position,phase_step,started_alive,elapsed_base,clock_spread,tour_steps,alive_at_tour,final_alive,within_latch
0,60000,"(1, 1)",0,5,550,98,-1,0,4,0
1,60001,"(1, 1)",0,5,550,32,-1,0,4,0
2,60002,"(1, 1)",0,5,800,235,-1,0,3,0
3,60003,"(1, 1)",0,5,550,46,-1,0,4,0
4,60004,"(1, 1)",0,5,700,43,110,5,5,1
5,60005,"(1, 1)",0,5,700,29,161,5,5,1
6,60006,"(1, 1)",0,5,550,25,-1,0,3,0
7,60007,"(1, 1)",0,5,700,40,246,5,5,1
8,60008,"(1, 1)",0,4,700,41,-1,0,2,0
9,60009,"(1, 1)",0,4,550,26,-1,0,3,0
10,60010,"(1, 1)",0,4,550,43,-1,0,2,0
11,60011,"(1, 1)",0,4,550,32,228,4,4,1
12,60012,"(1, 1)",0,4,700,114,-1,0,3,0
13,60013,"(1, 1)",0,4,700,20,-1,0,3,0
14,60014,"(1, 1)",0,4,700,13,-1,0,1,0
15,60015,"(1, 1)",0,4,550,17,255,4,4,1
16,60016,"(1, 1)",0,3,700,46,-1,0,2,0
17,60017,"(1, 1)",0,3,800,125,-1,0,2,0
18,60018,"(1, 1)",0,3,800,78,16,3,3,1
19,60019,"(1, 1)",0,3,550,12,-1,0,2,0
20,60020,"(1, 1)",0,3,550,25,-1,0,2,0
21,60021,"(1, 1)",0,3,550,25,-1,0,1,0
22,60022,"(1, 1)",0,3,550,40,28,3,3,1
23,60023,"(1, 1)",0,3,550,26,280,3,3,1
24,60024,"(1, 1)",125,5,550,35,-1,0,4,0
25,60025,"(1, 1)",125,5,700,146,-1,0,3,0
26,60026,"(1, 1)",125,5,700,39,-1,0,3,0
27,60027,"(1, 1)",125,5,550,28,398,5,5,1
28,60028,"(1, 1)",125,5,550,70,424,5,5,1
29,60029,"(1, 1)",125,5,800,40,90,5,5,1
30,60030,"(1, 1)",125,5,800,55,106,5,5,1
31,60031,"(1, 1)",125,5,700,23,-1,0,1,0
32,60032,"(1, 1)",125,4,700,33,-1,0,2,0
33,60033,"(1, 1)",125,4,700,42,-1,0,3,0
34,60034,"(1, 1)",125,4,800,38,143,4,4,1
35,60035,"(1, 1)",125,4,700,59,-1,0,3,0
36,60036,"(1, 1)",125,4,700,105,-1,0,2,0
37,60037,"(1, 1)",125,4,550,16,234,4,4,1
38,60038,"(1, 1)",125,4,550,118,451,4,4,1
39,60039,"(1, 1)",125,4,800,221,-1,0,3,0
40,60040,"(1, 1)",125,3,800,21,-1,0,2,0
41,60041,"(1, 1)",125,3,700,105,-1,0,1,0
42,60042,"(1, 1)",125,3,800,23,-1,0,2,0
43,60043,"(1, 1)",125,3,700,18,-1,0,2,0
44,60044,"(1, 1)",125,3,700,22,-1,0,2,0
45,60045,"(1, 1)",125,3,550,21,-1,0,2,0
46,60046,"(1, 1)",125,3,800,14,186,3,3,1
47,60047,"(1, 1)",125,3,800,26,-1,0,1,0
48,60048,"(1, 1)",250,5,700,175,-1,0,2,0
49,60049,"(1, 1)",250,5,550,40,318,5,5,1
50,60050,"(1, 1)",250,5,700,76,-1,0,4,0
51,60051,"(1, 1)",250,5,800,24,-1,0,3,0
52,60052,"(1, 1)",250,5,550,222,-1,0,4,0
53,60053,"(1, 1)",250,5,800,26,-1,0,3,0
54,60054,"(1, 1)",250,5,700,33,-1,0,3,0
