episode,seed,o_position,official_reward,checkpoint_reward,final_alive,final_dry,handoffs,water_attempts,successful_waters,blocked_moves
0,30000,"(1, 1)",-1102.3599994609729,-184.439999461174,1,0,9,256,256,0
1,30001,"(1, 1)",47.379999017709565,201.27999901771545,3,0,9,770,770,0
2,30002,"(1, 1)",-526.9699987888114,31.480001211166382,2,0,7,835,835,0
3,30003,"(1, 1)",57.559996557229965,212.85999655723572,3,0,6,790,790,0
4,30004,"(1, 1)",-1216.9499995230972,-247.99999952316284,1,0,6,985,985,0
5,30005,"(1, 1)",-139.34999808779517,32.120001912117004,3,0,8,1021,1021,0
6,30006,"(1, 1)",-67.62000054818955,76.19999945163727,3,0,9,626,626,0
7,30007,"(1, 1)",-1026.6399996660555,-69.09999966621399,1,1,10,822,822,0
8,30008,"(1, 1)",-1057.7699998090536,-140.19999980926514,1,0,8,251,251,0
9,30009,"(1, 1)",-21.360000433905014,137.5799995660782,3,0,9,842,842,0
10,30010,"(1, 1)",408.42999753474874,187.4599975347519,4,3,8,1129,1129,0
11,30011,"(1, 1)",-612.5400008056596,-76.2800008058548,2,0,12,518,518,0
12,30012,"(1, 1)",-1072.79000006653,-150.1800000667572,1,0,9,323,323,0
13,30013,"(1, 1)",-429.8900003623985,161.87999963760376,2,0,6,1311,1311,0
14,30014,"(1, 1)",-75.07000058631573,83.2399994134903,3,0,8,833,833,0
15,30015,"(1, 1)",-1237.4999998662747,-274.6399998664856,1,1,15,898,898,0
16,30016,"(1, 1)",-508.31999798771926,46.14000201225281,2,0,12,778,778,0
17,30017,"(1, 1)",-1200.2299989173753,-284.75999891757965,1,0,5,221,221,0
18,30018,"(1, 1)",186.74000034331394,326.64000034332275,3,0,6,570,570,0
19,30019,"(1, 1)",-73.68999881731511,109.26000118255615,3,0,9,1185,1185,0
20,30020,"(1, 1)",-976.090002236331,-42.28000223636627,1,0,4,483,483,0
21,30021,"(1, 1)",-1025.0299999378112,-118.93999993801117,1,0,7,87,87,0
22,30022,"(1, 1)",61.42999849795561,214.69999849796295,3,0,11,761,761,0
23,30023,"(1, 1)",-1246.3899993798586,-331.8999993801117,1,0,9,207,207,0
24,30024,"(1, 1)",43.67999964713508,202.6199996471405,3,1,10,842,842,0
25,30025,"(1, 1)",-1147.180000791352,-221.42000079154968,1,0,4,368,368,0
26,30026,"(1, 1)",-3.3499991845586976,152.02000081539154,3,0,5,791,791,0
27,30027,"(1, 1)",-669.8599991224588,-79.41999912261963,2,0,5,1292,1292,0
28,30028,"(1, 1)",-1074.0899991272167,-148.539999127388,1,0,6,365,365,0
29,30029,"(1, 1)",-67.72999929426166,109.760000705719,3,3,9,1107,1107,0
