episode,seed,o_position,phase_step,started_alive,elapsed_base,clock_spread,tour_steps,alive_at_tour,final_alive,within_latch
0,60000,"(1, 1)",0,5,550,98,-1,0,4,0
1,60001,"(1, 1)",0,5,550,32,-1,0,4,0
2,60002,"(1, 1)",0,5,800,235,-1,0,3,0
3,60003,"(1, 1)",0,5,550,46,-1,0,4,0
4,60004,"(1, 1)",0,5,700,43,110,5,5,1
5,60005,"(1, 1)",0,5,700,29,161,5,5,1
6,60006,"(1, 1)",0,5,550,25,-1,0,3,0
7,60007,"(1, 1)",0,5,700,40,246,5,5,1
8,60008,"(1, 1)",0,5,700,41,167,5,5,1
9,60009,"(1, 1)",0,5,550,29,-1,0,4,0
10,60010,"(1, 1)",0,5,550,43,-1,0,4,0
11,60011,"(1, 1)",0,5,550,32,413,5,5,1
12,60012,"(1, 1)",0,5,700,181,213,5,5,1
13,60013,"(1, 1)",0,5,700,35,166,5,5,1
14,60014,"(1, 1)",0,5,700,13,100,5,5,1
15,60015,"(1, 1)",0,5,550,17,-1,0,4,0
16,60016,"(1, 1)",0,5,700,195,-1,0,3,0
17,60017,"(1, 1)",0,5,800,158,101,5,5,1
18,60018,"(1, 1)",0,5,800,218,224,5,5,1
19,60019,"(1, 1)",0,5,550,95,-1,0,4,0
20,60020,"(1, 1)",0,4,550,25,-1,0,2,0
21,60021,"(1, 1)",0,4,550,25,122,4,4,1
22,60022,"(1, 1)",0,4,550,40,150,4,4,1
23,60023,"(1, 1)",0,4,550,26,360,4,4,1
24,60024,"(1, 1)",0,4,550,35,-1,0,3,0
25,60025,"(1, 1)",0,4,700,61,-1,0,3,0
26,60026,"(1, 1)",0,4,700,33,306,4,4,1
27,60027,"(1, 1)",0,4,550,28,85,4,4,1
28,60028,"(1, 1)",0,4,550,70,-1,0,3,0
29,60029,"(1, 1)",0,4,800,40,56,4,4,1
30,60030,"(1, 1)",0,4,800,40,82,4,4,1
31,60031,"(1, 1)",0,4,700,7,-1,0,1,0
32,60032,"(1, 1)",0,4,700,33,103,4,4,1
33,60033,"(1, 1)",0,4,700,42,254,4,4,1
34,60034,"(1, 1)",0,4,800,38,-1,0,3,0
35,60035,"(1, 1)",0,4,700,59,-1,0,2,0
36,60036,"(1, 1)",0,4,700,105,-1,0,2,0
37,60037,"(1, 1)",0,4,550,16,-1,0,3,0
38,60038,"(1, 1)",0,4,550,118,539,4,4,0
39,60039,"(1, 1)",0,4,800,221,227,4,4,1
40,60040,"(1, 1)",0,3,800,21,-1,0,1,0
41,60041,"(1, 1)",0,3,700,105,-1,0,2,0
42,60042,"(1, 1)",0,3,800,23,-1,0,2,0
43,60043,"(1, 1)",0,3,700,18,-1,0,2,0
44,60044,"(1, 1)",0,3,700,22,-1,0,2,0
45,60045,"(1, 1)",0,3,550,21,-1,0,2,0
46,60046,"(1, 1)",0,3,800,14,-1,0,2,0
47,60047,"(1, 1)",0,3,800,26,198,3,3,1
48,60048,"(1, 1)",0,3,700,175,60,3,3,1
49,60049,"(1, 1)",0,3,550,11,-1,0,2,0
50,60050,"(1, 1)",0,3,700,76,-1,0,2,0
51,60051,"(1, 1)",0,3,800,18,177,3,3,1
52,60052,"(1, 1)",0,3,550,196,-1,0,2,0
53,60053,"(1, 1)",0,3,800,25,-1,0,2,0
54,60054,"(1, 1)",0,3,700,33,-1,0,2,0
