episode,seed,o_position,official_reward,checkpoint_reward,final_alive,final_dry,handoffs,water_attempts,successful_waters,blocked_moves
0,10000,"(1, 1)",-60.019999332330116,94.30000066757202,3,0,0,776,776,0
1,10001,"(1, 1)",-1300.3999992559247,-374.77999925613403,1,0,0,366,366,0
2,10002,"(1, 1)",416.4200010681084,177.88000106811523,4,0,0,878,878,0
3,10003,"(1, 1)",-114.36000099654379,48.91999900341034,3,0,0,904,904,0
4,10004,"(1, 1)",-90.86999976624693,84.38000023365021,3,0,0,1075,1075,0
5,10005,"(1, 1)",-1307.290000204859,-329.66000020504,1,0,0,1109,1109,0
6,10006,"(1, 1)",42.86000057219701,179.4000005722046,3,0,0,522,522,0
7,10007,"(1, 1)",-2.610000405310217,182.29999959468842,3,0,0,1213,1213,0
8,10008,"(1, 1)",-699.3200001905806,-137.30000019073486,2,0,0,886,886,0
9,10009,"(1, 1)",351.459999103541,132.93999910354614,4,3,0,1164,1164,0
10,10010,"(1, 1)",466.9199987316132,281.57999873161316,4,0,0,1638,1638,0
11,10011,"(1, 1)",21.450001192089275,175.0000011920929,3,0,0,765,765,0
12,10012,"(1, 1)",-109.66000091069216,73.07999908924103,3,0,0,1182,1182,0
13,10013,"(1, 1)",419.2500026035249,214.52000260353088,4,0,0,1361,1361,0
14,10014,"(1, 1)",-1202.0599997852423,-272.0999997854233,1,0,0,428,428,0
15,10015,"(1, 1)",431.68000254630596,192.58000254631042,4,1,0,870,870,0
16,10016,"(1, 1)",3.1500015783246056,148.720001578331,3,0,0,651,651,0
17,10017,"(1, 1)",-1843.9899995992528,-508.9199995994568,0,0,0,501,501,0
18,10018,"(1, 1)",-83.42999979969889,88.0400002002716,3,0,0,1021,1021,0
19,10019,"(1, 1)",-612.5399976394373,-95.59999763965607,2,0,0,242,242,0
20,10020,"(1, 1)",25.7399999999935,172.5,3,0,0,668,668,0
21,10021,"(1, 1)",-694.1700003576041,-76.50000035762787,2,1,0,1681,1681,0
22,10022,"(1, 1)",10.459997692101865,168.41999769210815,3,0,0,828,828,0
23,10023,"(1, 1)",324.73999779230354,119.93999779224396,4,0,0,1360,1360,0
24,10024,"(1, 1)",-703.480000157142,-165.96000015735626,2,0,0,536,536,0
25,10025,"(1, 1)",45.539999728195596,185.15999972820282,3,0,0,566,566,0
26,10026,"(1, 1)",-84.85999842162587,81.220001578331,3,0,0,944,944,0
27,10027,"(1, 1)",63.61000205039201,199.10000205039978,3,0,0,507,507,0
28,10028,"(1, 1)",46.960000510208346,198.34000051021576,3,0,0,734,734,0
29,10029,"(1, 1)",340.9199992799839,112.87999927997589,4,0,0,1028,1028,0
