global_step,rescue_episodes,rescue_latch_rate,rescue_tour_completion_rate,rescue_median_tour_steps,rescue_mean_final_alive,rescue_survived_handover_rate,rescue_latch_rate_at_phase_0,rescue_latch_rate_at_phase_125,rescue_latch_rate_at_phase_250,rescue_latch_rate_at_phase_375,rescue_latch_rate_at_alive_3,rescue_latch_rate_at_alive_4,rescue_latch_rate_at_alive_5,rescue_latch_rate_at_base_550,rescue_latch_rate_at_base_700,rescue_latch_rate_at_base_800,rescue_worst_phase,rescue_worst_alive,rescue_worst_cell,rolling_train_alive,rolling_train_episodes
100000,96,0.15625,0.15625,264.0,2.4583333333333335,0.15625,0.20833333333333334,0.25,0.16666666666666666,0.0,0.0625,0.09375,0.3125,0.058823529411764705,0.2777777777777778,0.11538461538461539,0.0,0.0625,0.0,1.9,10
200000,96,0.17708333333333334,0.17708333333333334,206.0,2.625,0.17708333333333334,0.08333333333333333,0.125,0.20833333333333334,0.2916666666666667,0.1875,0.28125,0.0625,0.23529411764705882,0.19444444444444445,0.07692307692307693,0.08333333333333333,0.0625,0.0,2.4,20
300000,96,0.3645833333333333,0.3645833333333333,214.0,3.1458333333333335,0.3645833333333333,0.375,0.25,0.3333333333333333,0.5,0.5625,0.34375,0.1875,0.5588235294117647,0.25,0.2692307692307692,0.25,0.1875,0.0,2.2,20
400000,96,0.28125,0.28125,244.0,2.9166666666666665,0.28125,0.375,0.125,0.20833333333333334,0.4166666666666667,0.34375,0.3125,0.1875,0.4411764705882353,0.2222222222222222,0.15384615384615385,0.125,0.1875,0.0,1.9,20
500000,96,0.3645833333333333,0.3645833333333333,210.0,3.0208333333333335,0.3645833333333333,0.4583333333333333,0.3333333333333333,0.2916666666666667,0.375,0.46875,0.25,0.375,0.4411764705882353,0.3055555555555556,0.34615384615384615,0.2916666666666667,0.25,0.125,2.25,20
600000,96,0.28125,0.28125,209.0,2.8229166666666665,0.28125,0.3333333333333333,0.20833333333333334,0.25,0.3333333333333333,0.4375,0.3125,0.09375,0.5,0.1388888888888889,0.19230769230769232,0.20833333333333334,0.09375,0.0,2.35,20
700000,96,0.3125,0.3125,139.0,2.65625,0.3125,0.2916666666666667,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.4375,0.40625,0.09375,0.38235294117647056,0.2222222222222222,0.34615384615384615,0.2916666666666667,0.09375,0.0,2.3,20
800000,96,0.28125,0.28125,176.0,2.84375,0.28125,0.16666666666666666,0.2916666666666667,0.375,0.2916666666666667,0.28125,0.40625,0.15625,0.3235294117647059,0.2222222222222222,0.3076923076923077,0.16666666666666666,0.15625,0.0,2.15,20
900000,96,0.4270833333333333,0.4270833333333333,169.0,3.1458333333333335,0.4270833333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.625,0.40625,0.46875,0.40625,0.4411764705882353,0.4166666666666667,0.4230769230769231,0.3333333333333333,0.40625,0.125,2.0,20
1000000,96,0.4166666666666667,0.4166666666666667,193.5,3.1354166666666665,0.4166666666666667,0.4583333333333333,0.2916666666666667,0.375,0.5416666666666666,0.46875,0.5,0.28125,0.5,0.3611111111111111,0.38461538461538464,0.2916666666666667,0.28125,0.125,2.25,20
