episode,global_step,o_position,injected_deaths,official_reward,shaping_reward,training_reward,checkpoint_reward,final_alive,final_dry,handoffs,water_attempts,successful_waters,blocked_moves,epsilon
0,10000,"(1, 1)",0,-963.5699989413475,-87.77083633970216,-1051.3408352811202,-35.35999894142151,1,0,10,403,403,0,0.970003
1,20000,"(1, 1)",2,-966.1700009630505,-50.01002153014623,-1016.1800224933559,-52.24000096321106,1,0,8,199,199,0,0.940003
2,30000,"(1, 1)",2,-244.71000193119963,-94.52143013428805,-339.23143206547854,281.3999980688095,2,0,5,373,373,0,0.910003
3,40000,"(1, 1)",0,-395.4800002622681,-133.9151436352592,-529.3951438975216,138.39999973773956,2,0,6,484,484,0,0.880003
4,50000,"(1, 1)",0,-985.4899988602463,-109.90761813687116,-1095.3976169972298,-55.31999886035919,1,0,6,431,431,0,0.8500030000000001
5,60000,"(1, 1)",0,-1130.1300008056214,-71.88373956441124,-1202.0137403702645,-208.7800008058548,1,0,9,305,305,0,0.820003
6,70000,"(1, 1)",2,-996.9199997852521,-57.37939884042261,-1054.2993986258452,-84.59999978542328,1,0,5,176,176,0,0.790003
7,80000,"(1, 1)",2,-1492.7500004481378,-56.92683727502218,-1549.6768377231779,-177.28000044822693,0,0,10,221,221,0,0.760003
8,90000,"(1, 1)",1,-1687.0999998901102,-40.90407672810335,-1728.00407661823,-380.23999989032745,0,0,2,98,98,0,0.730003
9,100000,"(1, 1)",0,-1066.0699985503027,-96.81724030183685,-1162.887238852249,-112.51999855041504,1,0,8,765,765,0,0.7000029999999999
10,110000,"(1, 1)",2,-388.4000015115814,-74.4870775594633,-462.8870790710363,146.4599984884262,2,0,5,498,498,0,0.6700029999999999
11,120000,"(1, 1)",2,-1448.670001306455,-67.4588209714821,-1516.1288222779717,-113.88000130653381,0,0,8,497,497,0,0.640003
12,130000,"(1, 1)",2,-1576.180000352671,-41.671918701883726,-1617.8519190547136,-269.8800003528595,0,0,6,90,90,0,0.6100030000000001
13,140000,"(1, 1)",0,449.7999999093962,-134.1413659114686,315.6586339979372,216.71999990940094,4,3,9,956,956,0,0.580003
14,150000,"(1, 1)",2,199.40000151156568,-98.16624210070668,101.23375941087451,366.0400015115738,3,0,6,952,952,0,0.550003
15,160000,"(1, 1)",0,387.21000058652044,-110.4606570949413,276.7493434915768,179.2600005865097,4,0,11,1315,1315,0,0.520003
16,170000,"(1, 1)",0,-1193.1700000952474,-78.50541726278269,-1271.6754173581471,-239.90000009536743,1,0,13,761,761,0,0.49000299999999997
17,180000,"(1, 1)",0,701.9400000762886,-119.17341081045612,582.7665892658408,500.92000007629395,4,0,11,1414,1414,0,0.46000300000000005
18,190000,"(1, 1)",0,-702.7200004862698,-111.97683007334518,-814.6968305597135,-100.2400004863739,2,1,9,1464,1464,0,0.430003
19,200000,"(1, 1)",0,-1180.5000001190215,-71.24255104612571,-1251.7425511653332,-245.5000001192093,1,1,10,500,500,0,0.4000029999999999
20,210000,"(1, 1)",2,-930.4699995469857,-64.85993052577305,-995.329930072779,21.4000004529953,1,0,10,741,741,0,0.37000299999999997
21,220000,"(1, 1)",1,-1656.499999842455,-55.86697534179133,-1712.3669751844031,-326.53999984264374,0,0,12,428,428,0,0.34000299999999994
22,230000,"(1, 1)",0,-1265.8400001047457,-63.497045089244715,-1329.3370451941973,-235.64000010490417,1,0,10,1860,1860,0,0.3100029999999999
